,Unnamed: 0,Unnamed: 0.1,Tweets
202,2,2.0, This amoled is same as Samsung's one ??
203,3,3.0,"  Thank you for purchasing Samsung Mobile, we are not going to respond to any complaints because we don't know the issue yet. 😜😜😜"
204,4,4.0,: The GalaxyNote20 series comes in a stunning array of mystic hues that redefine work and play. Which colour do you have y…
205,5,5.0,"   Whoa, new, something change is better than nothing, New Camera Layout As Like Samsung/OPPO Devices Type Camera Layout 💥🔥, Let's bring this powerhouse Phone, Really Excited for Realme 7/7 Pro 😍, Thanks for the update  Sir  GTUFamily"
206,6,6.0,": With pro quality video on the Galaxy Note20 5G, you’ll become a pro filmmaker yourself. This means you have to refer t…"
207,7,7.0, its sparkly and holographic i think its the new samsung 💔
208,8,8.0,I need new music to listen to on my new Samsung BudsLive any recommendations? Link me to your Playlists! I like everything! 🤗 HappySaturday
209,9,9.0," _MM3 _Tech Well,since its android. And particularly samsung, if you are a tech geek and want higher refresh rate and high resolution you can replace the panel, like back in the note 3 days"
210,10,10.0,"  
Please help.
My father has been using this Samsung GURU for over 10 years, like a work horse. However a couple of days ago, it died. 
My father has 1000 very important contacts in this phone which he cannot afford to lose. "
211,11,11.0,": With pro quality video on the Galaxy Note20 5G, you’ll become a pro filmmaker yourself. This means you have to refer t…"
212,12,12.0,"I don't get why people say Samsung has ""raised the bar"". OnePlus has already issued three OS updates for the OnePlus 5T. If anything, OnePlus was the first the raise the bar, and now Samsung has heeded the call. "
213,13,13.0,"Get the NEW Samsung Galaxy A11 for only $79.99 when you join Cricket Wireless. Grab yours today at 2205 E. 7th Street Austin TX  78702

Obtenga el NUEVO Samsung Galaxy A11 por solo $79.99 cuando se cambia a Cricket Wireless. Escoja el suyo hoy. "
214,14,14.0,Selling my Samsung A20
215,15,15.0,": It will cost you 0$ to retweet my art.

  → I shot these images with my Samsung phone's camera. 🌴🖤 "
